,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
33,W1513,annoy,T79,0.0085608389615239,0.3069922556153106,0.6308592583460145,0.0237264713286561,0.1280255178509328,4,1.5
34,W1523,sliver,T23,0.0028886460957867,0.0163086763271123,0.3227627786469241,0.0392517476711273,0.1314022022962937,7,1.52
35,W1531,miserable,T48,0.0099744853917613,0.403763385988389,0.628399241739551,0.0302826479922831,0.1374783178681517,5,1.52
36,W1532,frozen,T65,0.0039086189362057,0.1493826066353941,0.4279424918954768,0.0183004795898574,0.1535895075931892,3,1.47
37,W1561,silent,T64,0.0096476389352476,-0.0259269846647734,0.9407551594802818,0.032277108075337,0.0240992253635586,6,1.52
38,W1588,eastern,T64,0.0093245609812438,0.4216163690073038,0.6340723963620494,0.0310542681044255,0.0186836785672885,5,1.52
39,W1592,marathon,T79,0.0082453669678688,1.9657817829456188,0.4417646674354312,0.0237264713286561,0.1280255178509328,4,1.5
40,W1593,mindfulness,T79,0.0088643281903091,0.4252564820106734,0.5198899625497797,0.0178820166576942,0.0838268294017842,3,1.49
41,W1613,vegetable,T79,0.0060368900177987,1.3209577310443774,0.4136755469139113,0.022959355751684,0.1187081684974867,4,1.49
42,W1623,brutal,T58,0.0033677281786684,0.3641418843047745,0.2207040062819549,0.0369496118245238,0.3897530030281427,6,1.52
43,W1644,downtown,T53,0.0138538716136644,0.4175692208277883,1.1199377481320196,0.0412044417572347,0.131266751632521,7,1.56
44,W1664,performer,T25,0.0035512594430884,0.4584870016692675,0.2575257931863165,0.0408413724093783,0.071801706650203,7,1.53
45,W1692,spinning,T37,0.0073701474831891,3.0295212294449256,0.4134868744012828,0.0237264713286561,0.1280255178509328,4,1.5
46,W1709,clinic,T20,0.0034778787671906,1.966644043158413,0.1848002553855412,0.0369496118245238,0.3897530030281427,6,1.52
47,W1719,cornerstone,T47,0.0037780072778539,-0.022366450774241,0.4478741919282911,0.0171149010807222,0.0303107915991894,3,1.47
48,W1751,overstate,T96,0.0013969992730169,-0.04233082088718,0.1405212732580868,0.0171149010807222,0.0303107915991894,3,1.46
49,W1804,torture,T5,0.0022829217309264,0.1284785590926588,0.3113201605533869,0.0334072930001655,0.0724706176974289,6,1.5
50,W1811,arrest,T49,0.0043133238760469,0.246992822911923,0.3895740191124475,0.0391963540868205,0.0188191292310613,7,1.52
