"wordId","word","topicId","dov","dovDelta","composition","dod","dodDelta","numDocs"
"W0","tamper","T54","0.014269392200148516","-0.04734419028103245","1.4386532662328484","0.017452006980802796","-0.09672653277890825","10"
"W1","prepare","T61","0.1389441837298087","0.005117745519292519","14.0084805956112","0.15183246073298431","0.009794243571660463","87"
"W2","year","T84","0.7457368477894093","0.01631372673682179","75.18587594860949","0.8499127399650961","0.0929578533078306","487"
"W3","vary","T7","0.06972010368804749","0.10432049992356204","7.029245078277295","0.05050733710622527","0.030609308165471253","44"
"W4","nation","T20","0.011521094375225315","0.21503953213404559","1.1615673478595876","0.02180998647768818","0.140187495879373","19"
"W5","credible","T8","0.001395331946824158","0.2911060508323825","0.1406786522243548","0.004591576100565933","-0.03678645279976056","4"
"W6","maintain","T7","0.14006395959898976","0.09559446289774512","14.121377430252082","0.10216256823759202","0.07932574490989354","89"
"W7","shift","T57","0.15177542767145977","0.11890195121727931","15.302138429635455","0.11938097861471428","0.09559301705376116","104"
"W8","county","T57","0.04845142204112946","0.09500185931145227","4.884917002447493","0.02295788050282967","0.0323048392954101","20"
"W9","bring","T49","0.3331426059569547","0.11742899005872671","33.58774441537232","0.2950087644613612","0.058647506238321406","257"
"W10","accuracy","T57","0.03443745113687029","0.189591434390121","3.472015546554037","0.02984524465367857","0.080983293923968","26"
"W11","professional","T53","0.2145958774708471","0.12578364759771346","21.63575404706621","0.14922622326839283","0.09532036563666373","130"
"W12","properly","T84","0.0434326552127504","0.1047715541593332","4.378920307645491","0.04017629087995192","0.06903481498494128","35"
"W13","ongoing","T56","0.052416679090113466","0.01070877642912094","5.284697870823533","0.053951019181649726","0.005543634454113579","47"
"W14","improbable","T5","0.0014569900380076303","2.192238159245894","0.14689507777539276","0.0022957880502829666","0.04591591970710765","2"
"W15","state","T5","0.27910883026887423","0.03975654383252526","28.140009375912058","0.2559803676065508","0.025165907004374","223"
"W16","press","T64","0.09256331724781858","0.12348727593854583","9.332318911981096","0.07002153553363048","0.07335163374289438","61"
"W17","meaningless","T96","0.004166535270255354","0.11069669117005486","0.42007392405717475","0.0057394701257074176","-0.015461001127866816","5"
"W18","boil","T20","0.0032378088847721696","-0.1857672208484285","0.32643887435280783","0.006887364150848901","-0.1899361031633286","6"
"W19","dissuade","T5","0.0012546679496287867","-0.09026439929579332","0.12649677845089563","0.0034436820754244505","-0.07704204014644618","3"
"W20","element","T84","0.05882071335597151","-0.023211246013082915","5.93035850474653","0.068873641508489","-0.006997648056287317","60"
"W21","distinguish","T3","0.015471583056631983","0.23383098852222464","1.5598592558122226","0.020662092452546698","0.03595745254576055","18"
"W22","pass","T56","0.1329723102491624","0.03962506440054708","13.40639081014916","0.14693043521810986","0.037109386059757485","128"
"W23","night","T68","0.11484545942742132","0.2015831098498144","11.57882501229114","0.11019782641358242","0.14185544248626797","96"
"W24","locality","T18","0.0022229152646906017","0.09362297923621049","0.22411636468109034","0.004591576100565933","0.05564401957324433","4"
"W25","opportunity","T57","0.2027270891890509","0.0813482683313632","20.439131879259058","0.2135082886763159","0.051610680758947446","186"
"W26","require","T7","0.40571078612213235","0.016846093377882978","40.90413518765203","0.2835298242099464","0.0029914523810035884","247"
"W27","hurricane","T84","0.002344096766033934","0.2563248615876237","0.23633399527594992","0.004591576100565933","0.5377477591213231","4"
"W28","vulnerability","T18","0.04765885143827741","0.009981779585675574","4.805009304171362","0.052803125156508236","0.06167807099598331","46"
"W29","decentralized","T10","0.008177491853681646","0.08239663901135293","0.8244622615929755","0.006887364150848901","0.03762630499255909","6"
"W30","analysis","T56","0.11986761059956214","0.024440455630584456","12.085162919748777","0.14004307106726097","0.005243071369623549","122"
"W31","accurately","T61","0.03705928487348023","0.15697145486670674","3.7363512390479405","0.02410577452797115","0.09575575747578674","21"
"W32","benefit","T49","0.2517957145233899","0.01654581005953356","25.38627588628046","0.20432513647518405","0.0018447070613633806","178"
"W33","planning","T84","0.02405298178226135","0.06004541872215922","2.4250437803040645","0.02984524465367857","0.023029126602177572","26"
"W34","unique","T43","0.18320542844476043","0.032896531320484756","18.47094006014494","0.1251204487404217","0.046440877598558104","109"
"W35","recount","T57","0.04488339226707556","1.6684501745362676","4.525184953845922","0.01951419842740522","0.2915300621409481","17"
"W36","commentary","T7","0.013554864479250344","0.020539544530876305","1.366613923206495","0.011478940251414835","0.017979621143259697","10"
"W37","sophisticated","T55","0.058918249342929566","0.01699638410713572","5.940192172799398","0.04591576100565934","0.02993149632384657","40"
"W38","jurisdiction","T45","0.015991998963799523","0.019325674662390466","1.6123280669672149","0.011478940251414835","0.01615726439132124","10"
"W39","result","T19","0.13955743724298425","0.13129878154439356","14.070309379723643","0.1446346471678269","0.053071269514206376","126"
"W40","current","T45","0.13274658861254368","0.010607232767141804","13.383633346816028","0.15840937546952472","-0.004290141703954871","138"
"W41","capability","T54","0.08629617121296285","0.032414370875433786","8.700459475605832","0.0677257474833475","0.06248866604910514","59"
"W42","involvement","T4","0.010132627220309555","0.056582803105175036","1.0215808102791153","0.016070516351980767","0.11149993485786933","14"
"W43","routine","T7","0.02205452249430018","1.1820974345153583","2.2235572739601723","0.01951419842740522","0.08024564608654325","17"
"W44","variety","T56","0.07520725966625248","0.07029980927287868","7.582465198633336","0.051655231131366754","0.022968493656945813","45"
"W45","attack","T90","0.09583401976003683","0.0690388327329141","9.66207415215382","0.10560625031301647","0.024581925592089673","92"
"W46","virally","T42","0.0","NaN","0.0","0.0","NaN","0"
"W47","specificity","T7","0.001256026158642123","-0.2","0.126633714334769","0.0011478940251414833","-0.2","1"
