"wordId","word","docId","topicId"
"W1012","communication","D526","T6"
"W283","write","D526","T6"
"W1479","realize","D526","T27"
"W1901","computational","D526","T6"
"W2611","chemistry","D526","T13"
"W837","figure","D526","T6"
"W173","learn","D526","T6"
"W1687","hurdle","D526","T4"
"W4266","invent","D526","T6"
"W1152","reading","D526","T6"
"W132","require","D526","T4"
"W1818","wonderful","D526","T40"
"W658","great","D526","T27"
"W1187","convince","D526","T13"
"W1163","succeed","D526","T13"
"W1587","science","D526","T61"
"W10173","biological","D526","T61"
"W386","position","D526","T24"
"W3342","writer","D526","T6"
"W1388","fun","D526","T24"
"W5527","grad","D526","T61"
"W9923","bqp","D2191","T66"
"W440","reason","D2191","T52"
"W2","year","D2191","T52"
"W8243","innocent","D2191","T92"
"W850","hall","D2191","T40"
"W1059","discussion","D2191","T52"
"W2018","expertise","D2191","T85"
"W20264","convulse","D2191","T92"
"W3343","advance","D2191","T85"
"W765","setting","D2191","T4"
"W2023","contribution","D2191","T66"
"W1434","extremely","D2191","T8"
"W1816","clever","D2191","T66"
"W855","complex","D2191","T92"
"W9856","thermal","D2191","T92"
"W1705","friend","D2191","T8"
"W3402","understanding","D2191","T27"
"W17","state","D2191","T66"
"W12444","popularization","D2191","T8"
"W122","happen","D2191","T52"
"W25795","chiral","D2191","T25"
"W2691","tuning","D2191","T66"
"W2152","remain","D2191","T25"
"W4265","sampling","D2191","T25"
"W3408","hierarchy","D2191","T8"
"W132","require","D2191","T4"
"W133","community","D2191","T85"
"W12075","subjectively","D2191","T92"
"W8232","interpretation","D2191","T92"
"W1587","science","D2191","T8"
"W1886","complexity","D2191","T8"
"W148","accessible","D2191","T6"
"W1616","compare","D2191","T27"
"W3205","prove","D2191","T8"
"W471","fact","D2191","T52"
"W7774","obstruction","D2191","T66"
"W2352","independent","D2191","T66"
"W1457","overcome","D2191","T4"
"W1710","fundamental","D2191","T66"
"W1619","result","D2191","T66"
"W483","notion","D2191","T6"
"W6076","partition","D2191","T27"
"W17218","quantize","D2191","T8"
"W164","term","D2191","T6"
"W4404","broader","D2191","T52"
"W489","free","D2191","T8"
"W2036","popular","D2191","T52"
"W6010","headline","D2191","T4"
"W876","close","D2191","T8"
"W1092","email","D2191","T8"
"W1293","policy","D2191","T85"
"W1294","mind","D2191","T52"
"W170","address","D2191","T85"
"W2881","reaction","D2191","T52"
"W496","decision","D2191","T52"
"W173","learn","D2191","T6"
"W7735","probabilistic","D2191","T66"
"W4537","procedure","D2191","T52"
"W1626","involve","D2191","T25"
"W12647","gravitational","D2191","T92"
"W45","people","D2191","T6"
"W2532","closer","D2191","T92"
"W5783","tragedy","D2191","T15"
"W888","answer","D2191","T52"
"W21751","unconditional","D2191","T25"
"W799","collaboration","D2191","T85"
"W1843","obvious","D2191","T52"
"W1723","invite","D2191","T40"
"W8066","spit","D2191","T92"
"W513","thing","D2191","T52"
"W896","discuss","D2191","T52"
"W190","scalable","D2191","T25"
"W5786","surely","D2191","T52"
"W4411","vertex","D2191","T66"
"W1106","separate","D2191","T92"
"W194","beg","D2191","T15"
"W2364","official","D2191","T85"
"W520","express","D2191","T6"
"W197","language","D2191","T27"
"W198","good","D2191","T52"
"W1937","hold","D2191","T52"
"W10202","nominate","D2191","T52"
"W2537","view","D2191","T52"
"W908","post","D2191","T8"
"W1115","separation","D2191","T66"
"W3791","contact","D2191","T4"
"W527","basically","D2191","T74"
"W1119","huge","D2191","T8"
"W22750","perturb","D2191","T25"
"W913","conversation","D2191","T85"
"W1901","computational","D2191","T8"
"W812","surprise","D2191","T40"
"W528","actual","D2191","T52"
"W66","imagine","D2191","T52"
"W3275","invitation","D2191","T8"
"W1124","query","D2191","T66"
"W213","finally","D2191","T8"
"W530","degree","D2191","T24"
"W19494","fractional","D2191","T52"
"W9897","irrelevance","D2191","T25"
"W917","pay","D2191","T27"
"W1127","suppose","D2191","T52"
"W821","article","D2191","T52"
"W6862","difficulty","D2191","T52"
"W3094","longer","D2191","T27"
"W1131","measure","D2191","T92"
"W533","failure","D2191","T52"
"W534","solve","D2191","T6"
"W3866","demonstrate","D2191","T25"
"W75","support","D2191","T4"
"W1589","scientist","D2191","T8"
"W4488","rule","D2191","T52"
"W2545","description","D2191","T66"
"W2474","paste","D2191","T40"
"W25796","conductance","D2191","T52"
"W2633","representation","D2191","T6"
"W1949","content","D2191","T40"
"W1333","fatal","D2191","T66"
"W546","yesterday","D2191","T52"
"W2063","fundamentally","D2191","T52"
"W18097","nonlocal","D2191","T66"
"W2137","stretch","D2191","T92"
"W547","negative","D2191","T66"
"W1148","common","D2191","T4"
"W1860","interest","D2191","T4"
"W83","rate","D2191","T25"
"W234","hard","D2191","T27"
"W836","class","D2191","T27"
"W236","live","D2191","T52"
"W1502","news","D2191","T8"
"W837","figure","D2191","T27"
"W10166","pour","D2191","T8"
"W8751","experimentally","D2191","T25"
"W3870","generic","D2191","T25"
"W1958","special","D2191","T66"
"W13303","rash","D2191","T15"
"W946","universe","D2191","T8"
"W25797","quantized","D2191","T8"
"W5266","moderation","D2191","T15"
"W576","comment","D2191","T8"
"W579","time","D2191","T52"
"W260","avoid","D2191","T52"
"W262","prompt","D2191","T52"
"W100","base","D2191","T4"
"W763","expert","D2191","T25"
"W267","decade","D2191","T66"
"W1965","simulation","D2191","T25"
"W25798","antiferromagnet","D2191","T25"
"W8050","mechanic","D2191","T92"
"W271","focus","D2191","T85"
"W9172","ridiculously","D2191","T92"
"W3037","rid","D2191","T52"
"W764","hope","D2191","T27"
"W962","approach","D2191","T4"
"W964","number","D2191","T27"
"W591","problem","D2191","T52"
"W274","experiment","D2191","T8"
"W3877","sight","D2191","T25"
"W3110","connection","D2191","T4"
"W280","model","D2191","T52"
"W5748","proof","D2191","T8"
"W598","simulate","D2191","T66"
"W283","write","D2191","T27"
"W600","case","D2191","T4"
"W1968","algorithm","D2191","T8"
"W4913","sentence","D2191","T6"
"W604","phase","D2191","T24"
"W2083","researcher","D2191","T6"
"W286","large","D2191","T4"
"W287","issue","D2191","T4"
"W7490","probability","D2191","T66"
"W605","work","D2191","T27"
"W290","understand","D2191","T27"
"W1367","sense","D2191","T52"
"W25799","simulability","D2191","T52"
"W3743","physicist","D2191","T8"
"W3043","relevance","D2191","T66"
"W612","exist","D2191","T52"
"W613","fail","D2191","T52"
"W7116","hardness","D2191","T66"
"W7750","pspace","D2191","T66"
"W298","system","D2191","T52"
"W2295","trackback","D2191","T8"
"W9904","classically","D2191","T25"
"W1522","exact","D2191","T25"
"W1190","theory","D2191","T8"
"W21439","philosophize","D2191","T92"
"W5503","formulate","D2191","T8"
"W4041","classical","D2191","T8"
"W980","matter","D2191","T52"
"W309","local","D2191","T66"
"W7331","disallow","D2191","T66"
"W636","computer","D2191","T6"
"W21279","eyeblink","D2191","T25"
"W313","file","D2191","T8"
"W640","freedom","D2191","T52"
"W3367","inquiry","D2191","T8"
"W5852","physics","D2191","T8"
"W2654","generalize","D2191","T66"
"W1383","angle","D2191","T52"
"W1533","leap","D2191","T92"
"W3663","incidentally","D2191","T66"
"W8880","provable","D2191","T8"
"W329","question","D2191","T4"
"W987","break","D2191","T8"
"W652","efficient","D2191","T25"
"W1205","abstract","D2191","T66"
"W656","transformation","D2191","T66"
"W798","computation","D2191","T66"
"W2252","generally","D2191","T4"
"W1208","wrong","D2191","T52"
"W4502","reversal","D2191","T52"
"W660","site","D2191","T8"
"W334","framework","D2191","T85"
"W6449","criticize","D2191","T52"
"W7758","polynomial","D2191","T66"
"W4922","efficiently","D2191","T25"
"W2787","rage","D2191","T15"
"W13134","spontaneously","D2191","T66"
"W7760","exponential","D2191","T66"
"W1844","argument","D2191","T52"
"W9257","certify","D2191","T8"
"W344","sign","D2191","T4"
"W4810","existence","D2191","T52"
"W6499","manner","D2191","T4"
"W1224","blog","D2191","T8"
"W12428","spur","D2191","T8"
"W2104","condense","D2191","T8"
"W4054","symmetry","D2191","T92"
"W355","function","D2191","T66"
"W2411","claim","D2191","T8"
"W361","credit","D2191","T52"
"W1012","communication","D2191","T66"
"W1014","read","D2191","T6"
"W690","resource","D2191","T85"
"W15379","logically","D2191","T52"
"W1016","author","D2191","T6"
"W1789","ill","D2191","T27"
"W4382","preserve","D2191","T52"
"W374","real","D2191","T52"
"W2416","basis","D2191","T52"
"W375","tool","D2191","T85"
"W820","establish","D2191","T85"
"W2322","entry","D2191","T8"
"W1995","feed","D2191","T8"
"W378","task","D2191","T6"
"W1791","phrase","D2191","T27"
"W822","topic","D2191","T40"
"W1235","ground","D2191","T52"
"W4813","perceive","D2191","T4"
"W706","request","D2191","T4"
"W2115","limitation","D2191","T4"
"W709","week","D2191","T52"
"W12013","qma","D2191","T66"
"W19228","qmc","D2191","T25"
"W1031","unclear","D2191","T52"
"W2780","quantum","D2191","T8"
"W1032","trick","D2191","T52"
"W717","point","D2191","T52"
"W1242","aware","D2191","T27"
"W406","head","D2191","T8"
"W722","general","D2191","T52"
"W1859","computing","D2191","T8"
"W833","paper","D2191","T8"
"W1571","ready","D2191","T24"
"W729","spend","D2191","T15"
"W411","define","D2191","T66"
"W4584","algorithmic","D2191","T8"
"W88","physical","D2191","T92"
"W415","universal","D2191","T25"
"W12534","garbled","D2191","T8"
"W2989","eternity","D2191","T66"
"W1806","process","D2191","T6"
"W733","original","D2191","T66"
"W421","manifest","D2191","T96"
"W21534","bosonic","D2191","T25"
"W427","specific","D2191","T27"
"W1808","follow","D2191","T15"
"W1249","differ","D2191","T52"
"W1601","response","D2191","T8"
"W13136","ambassador","D2191","T66"
"W841","attention","D2191","T52"
"W752","independently","D2191","T52"
"W1581","reduction","D2191","T66"
"W3764","hypothesis","D2191","T66"
"W1429","collapse","D2191","T52"
"W440","reason","D1498","T27"
"W2","year","D1498","T61"
"W21151","commanding","D1498","T60"
"W1062","concern","D1498","T4"
"W2795","graduate","D1498","T61"
"W10495","warfare","D1498","T94"
"W5734","foundational","D1498","T85"
"W3910","shoulder","D1498","T24"
"W122","happen","D1498","T52"
"W459","closely","D1498","T85"
"W860","grow","D1498","T16"
"W130","opportunity","D1498","T85"
"W1921","analysis","D1498","T72"
"W5395","ancient","D1498","T94"
"W7635","symptom","D1498","T24"
"W2294","slow","D1498","T16"
"W3575","adopt","D1498","T85"
"W2157","letter","D1498","T61"
"W1587","science","D1498","T61"
"W22308","baffle","D1498","T89"
"W2453","notch","D1498","T61"
"W4531","bridge","D1498","T85"
"W2297","hurt","D1498","T94"
"W2162","affect","D1498","T4"
"W36","industry","D1498","T16"
"W478","global","D1498","T18"
"W1711","recommend","D1498","T40"
"W8648","destroyer","D1498","T94"
"W781","seek","D1498","T61"
"W5249","elect","D1498","T24"
"W1083","moment","D1498","T24"
"W1460","remember","D1498","T27"
"W485","current","D1498","T13"
"W4892","heel","D1498","T60"
"W12990","submarine","D1498","T81"
"W4877","defense","D1498","T94"
"W2807","civil","D1498","T72"
"W2608","national","D1498","T81"
"W1716","civilian","D1498","T81"
"W3010","acquisition","D1498","T16"
"W787","worried","D1498","T24"
"W1293","policy","D1498","T85"
"W1098","middle","D1498","T21"
"W496","decision","D1498","T85"
"W45","people","D1498","T85"
"W506","face","D1498","T85"
"W19375","overmatch","D1498","T60"
"W888","answer","D1498","T27"
"W799","collaboration","D1498","T85"
"W6012","regain","D1498","T94"
"W6859","censorship","D1498","T72"
"W4684","technological","D1498","T85"
"W802","interview","D1498","T21"
"W5527","grad","D1498","T61"
"W896","discuss","D1498","T52"
"W11326","prominence","D1498","T61"
"W8067","fleet","D1498","T16"
"W1725","commercial","D1498","T85"
"W2771","joint","D1498","T52"
"W2175","resolve","D1498","T52"
"W1107","officer","D1498","T85"
"W17785","lethal","D1498","T81"
"W519","project","D1498","T85"
"W4620","align","D1498","T85"
"W198","good","D1498","T27"
"W16978","gov","D1498","T94"
"W1583","faculty","D1498","T61"
"W6416","assessment","D1498","T91"
"W907","chinese","D1498","T61"
"W2537","view","D1498","T52"
"W23983","bifurcation","D1498","T89"
"W1848","awareness","D1498","T85"
"W910","prior","D1498","T4"
"W1116","school","D1498","T13"
"W1117","continue","D1498","T85"
"W10126","missile","D1498","T52"
"W1728","military","D1498","T94"
"W201","talk","D1498","T27"
"W3581","criticism","D1498","T60"
"W1730","sector","D1498","T16"
"W913","conversation","D1498","T85"
"W65","tech","D1498","T85"
"W66","imagine","D1498","T52"
"W17535","footage","D1498","T74"
"W1483","campus","D1498","T61"
"W25800","ashore","D1498","T61"
"W817","develop","D1498","T85"
"W1942","gps","D1498","T81"
"W2713","drone","D1498","T16"
"W821","article","D1498","T27"
"W69","lack","D1498","T52"
"W3094","longer","D1498","T27"
"W217","month","D1498","T13"
"W25801","naval","D1498","T4"
"W3385","exchange","D1498","T85"
"W4860","burst","D1498","T24"
"W1135","internet","D1498","T72"
"W823","conflict","D1498","T94"
"W15307","divisive","D1498","T85"
"W1589","scientist","D1498","T61"
"W542","update","D1498","T4"
"W4000","cold","D1498","T24"
"W1146","life","D1498","T85"
"W1742","weapon","D1498","T89"
"W25802","philoisophically","D1498","T81"
"W233","company","D1498","T85"
"W4357","divide","D1498","T60"
"W234","hard","D1498","T52"
"W6338","tank","D1498","T61"
"W8798","nuclear","D1498","T60"
"W236","live","D1498","T81"
"W5068","prestigious","D1498","T61"
"W557","previous","D1498","T4"
"W563","technology","D1498","T85"
"W1153","suddenly","D1498","T74"
"W7784","r&d","D1498","T16"
"W97","fund","D1498","T60"
"W251","management","D1498","T16"
"W13964","battlefield","D1498","T79"
"W253","service","D1498","T61"
"W2071","disagree","D1498","T52"
"W3030","airplane","D1498","T24"
"W6255","ethos","D1498","T85"
"W2072","risk","D1498","T85"
"W579","time","D1498","T27"
"W14441","renew","D1498","T61"
"W100","base","D1498","T27"
"W2732","stem","D1498","T16"
"W265","big","D1498","T27"
"W955","career","D1498","T61"
"W1963","select","D1498","T4"
"W582","reach","D1498","T52"
"W25803","resentful","D1498","T94"
"W8","program","D1498","T61"
"W586","type","D1498","T4"
"W2639","collaborate","D1498","T85"
"W964","number","D1498","T27"
"W2079","incentive","D1498","T91"
"W593","enable","D1498","T16"
"W15244","impasse","D1498","T89"
"W14","decline","D1498","T89"
"W2644","majority","D1498","T81"
"W282","join","D1498","T85"
"W14235","casualty","D1498","T94"
"W5802","elevate","D1498","T52"
"W772","guide","D1498","T85"
"W969","flow","D1498","T4"
"W603","generation","D1498","T16"
"W1363","reduce","D1498","T16"
"W2737","inclusive","D1498","T24"
"W1177","goal","D1498","T85"
"W1833","partnership","D1498","T85"
"W2083","researcher","D1498","T61"
"W971","surface","D1498","T79"
"W605","work","D1498","T27"
"W607","contract","D1498","T89"
"W2650","corporation","D1498","T85"
"W12233","profitable","D1498","T60"
"W9684","propulsion","D1498","T4"
"W25804","familiarization","D1498","T89"
"W20783","mpp","D1498","T93"
"W4496","reform","D1498","T89"
"W298","system","D1498","T85"
"W776","provide","D1498","T4"
"W6350","analyze","D1498","T4"
"W5941","utilize","D1498","T85"
"W3461","restriction","D1498","T72"
"W17488","dod","D1498","T38"
"W7214","motto","D1498","T94"
"W1374","familiarity","D1498","T16"
"W1889","secret","D1498","T89"
"W2243","citp","D1498","T61"
"W636","computer","D1498","T61"
"W1380","government","D1498","T85"
"W314","top","D1498","T27"
"W319","speak","D1498","T85"
"W1676","bureaucratic","D1498","T85"
"W326","product","D1498","T16"
"W327","side","D1498","T24"
"W3596","funding","D1498","T61"
"W2812","consequence","D1498","T52"
"W329","question","D1498","T52"
"W1206","reverse","D1498","T52"
"W1387","ethical","D1498","T21"
"W656","transformation","D1498","T16"
"W7689","rift","D1498","T81"
"W5168","corporate","D1498","T85"
